Date,Event_Name,Impact_Score
1990-08-02,Guerra del Golfo,2
1990-08-03,Guerra del Golfo,2
1990-08-04,Guerra del Golfo,2
1990-08-05,Guerra del Golfo,2
1990-08-06,Guerra del Golfo,2
1990-08-07,Guerra del Golfo,2
1990-08-08,Guerra del Golfo,2
1990-08-09,Guerra del Golfo,2
1990-08-10,Guerra del Golfo,2
1990-08-11,Guerra del Golfo,2
1990-08-12,Guerra del Golfo,2
1990-08-13,Guerra del Golfo,2
1990-08-14,Guerra del Golfo,2
1990-08-15,Guerra del Golfo,2
1990-08-16,Guerra del Golfo,2
1990-08-17,Guerra del Golfo,2
1990-08-18,Guerra del Golfo,2
1990-08-19,Guerra del Golfo,2
1990-08-20,Guerra del Golfo,2
1990-08-21,Guerra del Golfo,2
1990-08-22,Guerra del Golfo,2
1990-08-23,Guerra del Golfo,2
1990-08-24,Guerra del Golfo,2
1990-08-25,Guerra del Golfo,2
1990-08-26,Guerra del Golfo,2
1990-08-27,Guerra del Golfo,2
1990-08-28,Guerra del Golfo,2
1990-08-29,Guerra del Golfo,2
1990-08-30,Guerra del Golfo,2
1990-08-31,Guerra del Golfo,2
1990-09-01,Guerra del Golfo,2
1990-09-02,Guerra del Golfo,2
1990-09-03,Guerra del Golfo,2
1990-09-04,Guerra del Golfo,2
1990-09-05,Guerra del Golfo,2
1990-09-06,Guerra del Golfo,2
1990-09-07,Guerra del Golfo,2
1990-09-08,Guerra del Golfo,2
1990-09-09,Guerra del Golfo,2
1990-09-10,Guerra del Golfo,2
1990-09-11,Guerra del Golfo,2
1990-09-12,Guerra del Golfo,2
1990-09-13,Guerra del Golfo,2
1990-09-14,Guerra del Golfo,2
1990-09-15,Guerra del Golfo,2
1990-09-16,Guerra del Golfo,2
1990-09-17,Guerra del Golfo,2
1990-09-18,Guerra del Golfo,2
1990-09-19,Guerra del Golfo,2
1990-09-20,Guerra del Golfo,2
1990-09-21,Guerra del Golfo,2
1990-09-22,Guerra del Golfo,2
1990-09-23,Guerra del Golfo,2
1990-09-24,Guerra del Golfo,2
1990-09-25,Guerra del Golfo,2
1990-09-26,Guerra del Golfo,2
1990-09-27,Guerra del Golfo,2
1990-09-28,Guerra del Golfo,2
1990-09-29,Guerra del Golfo,2
1990-09-30,Guerra del Golfo,2
1990-10-01,Guerra del Golfo,2
1990-10-02,Guerra del Golfo,2
